Link Name,x,y,z,roll,pitch,yaw,reference
LDR_FRONT_LEFT,4.533,0.95,2.398,0,0,0,RAC to ground
LDR_FRONT_RIGHT,4.533,-0.95,2.398,0,0,0,RAC to ground
,,,,,,,
LDR_FRONT_LEFT_BLIND,4.533,0.95,2.188,0,0,0,RAC to ground
LDR_FRONT_RIGHT_BLIND,4.533,-0.95,2.188,0,0,0,RAC to ground
LDR_REAR_BLIND,-0.888,0,2.509,0,0,3.142,R_LIDAR_MAIN
,,,,,,,
CAM_L_FRONT,0.077,0,-0.099,0,0,0,LDR_FRONT_LEFT
CAM_L_FRONT_LEFT,0.07,0.083,-0.099,0,0,0.873,LDR_FRONT_LEFT
CAM_L_LEFT,-0.019,0.107,-0.099,0,0,1.745,LDR_FRONT_LEFT
CAM_L_REAR_LEFT,-0.094,0.054,-0.099,0,0,2.618,LDR_FRONT_LEFT
,,,,,,,
CAM_R_FRONT_DIM,0.105,-0.03,-0.094,0,0,0.873,LDR_FRONT_RIGHT
CAM_R_FRONT_HD,0.105,0.03,-0.094,0,0,-0.873,LDR_FRONT_RIGHT
CAM_R_FRONT_RIGHT,0.07,-0.083,-0.099,0,0,-0.873,LDR_FRONT_RIGHT
CAM_R_RIGHT,-0.019,-0.107,-0.094,0,0,-1.745,LDR_FRONT_RIGHT
CAM_R_REAR_RIGHT,-0.094,-0.054,-0.094,0,0,-2.618,LDR_FRONT_RIGHT
