sensor_position,x,y,z,roll,pitch,yaw,ref_lidar_id,,device_path,hardware_trigger,rotate_90_ccw,expected_fps,,,,
LDR_FRONT_LEFT,4.533,0.95,2.398,0,0,0,RAC_to_ground,,,,,,,,,
LDR_FRONT_RIGHT,4.533,-0.95,2.398,0,0,0,RAC_to_ground,,,,,,,,,
,,,,,,,,,,,,,,,,
LDR_FRONT_LEFT_BLIND,4.533,0.95,2.188,0,0,0,RAC_to_ground,,,,,,,,,
LDR_FRONT_RIGHT_BLIND,4.533,-0.95,2.188,0,0,0,RAC_to_ground,,,,,,,,,
,,,,,,,,,,,,,,,,
sensor_position,x,y,z,roll,pitch,yaw,ref_lidar_id,node_name,device_path,hardware_trigger,rotate_90_ccw,expected_fps,roi_x,roi_y,roi_width,roi_height
CAM_L_FRONT,0.077,0,-0.099,0,0,0,LDR_FRONT_LEFT,"""sensor_node_1""","""/dev/video0""",,,,,,,
CAM_L_FRONT_LEFT,0.07,0.083,-0.099,0,0,0.873,LDR_FRONT_LEFT,"""sensor_node_1""","""/dev/video1""",,,,,,,
CAM_L_LEFT,-0.019,0.107,-0.099,0,0,1.745,LDR_FRONT_LEFT,"""sensor_node_1""","""/dev/video2""",,,,,,,
CAM_L_REAR_LEFT,-0.094,0.054,-0.099,0,0,2.618,LDR_FRONT_LEFT,"""sensor_node_1""","""/dev/video3""",,,,,,,
,,,,,,,,,,,,,,,,
CAM_R_FRONT_RIGHT,0.07,-0.083,-0.099,0,0,-0.873,LDR_FRONT_RIGHT,"""sensor_node_1""","""/dev/video4""",,,,,,,
CAM_R_RIGHT,-0.019,-0.107,-0.094,0,0,-1.745,LDR_FRONT_RIGHT,"""sensor_node_1""","""/dev/video5""",,,,,,,
CAM_R_REAR_RIGHT,-0.094,-0.054,-0.094,0,0,-2.618,LDR_FRONT_RIGHT,"""sensor_node_1""","""/dev/video6""",,,,,,,
CAM_R_FRONT_DIM,0.105,-0.03,-0.094,0,0,0.873,LDR_FRONT_RIGHT,"""sensor_node_1""","""/dev/video7""",,,,,,,
CAM_R_FRONT_HD,0.105,0.03,-0.094,0,0,-0.873,LDR_FRONT_RIGHT,"""sensor_node_2""","""/dev/video0""",,,,,,,
